Date,Amount,Name,Category
2020-07-06,15.43,PCC - BALLARD,Shops,Supermarkets and Groceries
2020-07-05,5.98,7-Eleven,Shops,Convenience Stores
2020-07-05,5.5,PIM BICYCLES & COF,Shops,Bicycles
2020-07-04,8,CAPT'N JACK'S,Food and Drink,Restaurants
2020-07-04,28.87,Chevron,Travel,Gas Stations
2020-07-04,28.25,Fred Meyer,Shops,Supermarkets and Groceries
2020-07-04,-1000,Online payment from CHK 2760,Transfer,Deposit
2020-07-04,18.5,PCC - BALLARD,Shops,Supermarkets and Groceries
2020-07-04,30.76,PCC - FREMONT,Shops,Supermarkets and Groceries
2020-07-04,4.16,TINDERBOX COFFEE ROASTER,Food and Drink,Restaurants,Coffee Shop
2020-07-04,62.09,Trader Joe's,Shops,Supermarkets and Groceries
2020-07-04,30.06,Un Bien,Food and Drink,Restaurants,Caribbean
2020-07-03,119.99,CONSERVICE, LLC,Service
2020-07-03,7.55,SALT & STRAW ICE C,Shops,Food and Beverage Store
2020-07-03,4.71,STONEWAY HARDWARE,Shops,Hardware Store
2020-07-03,1100.99,West Marine,Shops,Marine Supplies
2020-07-02,19.57,Bennett's Fish Shack,Food and Drink,Restaurants
2020-07-02,0.2,Etsy Inc Seller Fees,Shops,Digital Purchase
2020-07-01,-2958.16,Online payment from CHK 2760,Transfer,Deposit
2020-06-30,-100,AIRBNB HMKR2HEBN9 AIRBNB.COM,Travel,Lodging,Hotels and Motels
2020-06-30,17.41,Shell,Travel,Gas Stations
2020-06-30,3.25,Steepwater Surf,Shops,Sporting Goods
2020-06-30,100,TMOBILE*AUTO PAY,Service,Telecommunication Services
2020-06-29,3.29,APPLE.COM/BILL,Shops,Digital Purchase
2020-06-29,3.29,APPLE.COM/BILL,Shops,Digital Purchase
2020-06-29,19,Blackbeard's Brewing Co.,Food and Drink,Breweries
2020-06-29,13.15,Costco Gas,Travel,Gas Stations
2020-06-29,34.75,HANS SAUSAGE INC,Food and Drink,Restaurants
2020-06-29,10.3,Lighthouse Roasters,Food and Drink,Restaurants
2020-06-29,40.23,NUNA RAMEN,Food and Drink,Restaurants
2020-06-29,92.45,PCC - COLUMBIA CITY,Shops,Supermarkets and Groceries
2020-06-29,7.5,PIM BICYCLES &,Shops,Bicycles
2020-06-29,24.97,ROSELLINIS,Food and Drink,Restaurants
2020-06-29,209.19,Surf Ballard,Service,Financial,Banking and Finance
2020-06-29,137.43,Trader Joe's,Shops,Supermarkets and Groceries
2020-06-29,1.75,USA*VEND AT AIR SERV,Food and Drink
2020-06-29,14.87,Un Bien,Food and Drink,Restaurants,Caribbean
2020-06-27,40.23,NUNA RAMEN,Food and Drink,Restaurants
2020-06-27,14.66,ROSELLINIS,Food and Drink,Restaurants
2020-06-26,39.27,76 - DBA BROADWAY ROY GASSEATTLE,Travel,Gas Stations
2020-06-26,931.65,AIRBNB HMKR2HEBN9 AIRBNB.COM,Travel,Lodging,Hotels and Motels
2020-06-26,100,AIRBNB INC AIRBNB.COM,Travel,Lodging,Hotels and Motels
2020-06-26,18.17,TACOS CHUKIS SOUTH LAgosq.com,Food and Drink,Restaurants
2020-06-25,16.16,ARASHI RAMEN BALLARD,Food and Drink,Restaurants
2020-06-25,12.94,Anchored Ship Coffee Bar,Food and Drink,Restaurants,Coffee Shop
2020-06-25,27.53,MOSS BAY KAYAK 2066822031,Shops,Sporting Goods
2020-06-25,27.35,Un Bien,Food and Drink,Restaurants,Caribbean
2020-06-24,41.78,Amazon,Shops,Digital Purchase
2020-06-24,7.5,PIM BICYCLES &,Shops,Bicycles
2020-06-23,10.35,Netflix,Service,Subscription
2020-06-23,23.6,PCC - BALLARD,Shops,Supermarkets and Groceries
2020-06-23,8,SEA WOLF LLC,Food and Drink,Restaurants
2020-06-22,129.23,Costco,Shops,Warehouses and Wholesale Stores
2020-06-22,25.36,Costco Gas,Travel,Gas Stations
2020-06-22,1.91,Google Cloud Storage,Service,Business Services
2020-06-22,50.04,Mamnoon Llc,Food and Drink,Restaurants
2020-06-22,10.97,PCC - BALLARD,Shops,Supermarkets and Groceries
2020-06-22,8.99,PIM BICYCLES &,Shops,Bicycles
2020-06-22,36.38,SHIKU SUSHI,Food and Drink,Restaurants
2020-06-22,11.34,SP * ROSLYN CANDY CO.,Shops,Food and Beverage Store
2020-06-22,17.73,TACOS CHUKIS SOUTH LAgosq.com,Food and Drink,Restaurants
2020-06-22,40.7,Trader Joe's,Shops,Supermarkets and Groceries
2020-06-20,6.59,APPLE.COM/BILL,Shops,Digital Purchase
2020-06-20,10.3,Lighthouse Roasters,Food and Drink,Restaurants
2020-06-20,5.75,PIM BICYCLES &,Shops,Bicycles
2020-06-20,16.5,Prime Video*MS1YK9JM2,Service,Subscription
2020-06-20,47,SEATTLE MUNI INT #950003,Community,Government Departments and Agencies
2020-06-20,47,SEATTLE MUNI INT #950003,Community,Government Departments and Agencies
2020-06-20,18.5,USPS PO 5476010005,Service,Shipping and Freight
2020-06-19,15.2,Fred Meyer,Shops,Supermarkets and Groceries
2020-06-19,128.89,GEICO,Service,Insurance
2020-06-18,14.99,Spotify,Service,Subscription
2020-06-18,5.37,Stoneway Hardware,Service,Home Improvement,Hardware and Services
2020-06-18,18.57,Stoneway Hardware,Service,Home Improvement,Hardware and Services
2020-06-17,29.98,Amazon,Shops,Digital Purchase
2020-06-17,32.52,THAI ON 1,Food and Drink,Restaurants
2020-06-16,9.52,Amazon.com*MS53N8OC0 Amzn.com/billWA,Shops,Digital Purchase
2020-06-16,18.83,Anchored Ship Coffee Bar,Food and Drink,Restaurants,Coffee Shop
2020-06-16,15.99,Netflix,Service,Subscription
2020-06-16,40.88,PCC - BALLARD,Shops,Supermarkets and Groceries
2020-06-16,-99.95,SP * CKS ONLINE CO,Shops,Clothing and Accessories
2020-06-16,35,VERAS PIZZA & BAR,Food and Drink,Restaurants
2020-06-15,30,GOOD2GOREPLENISH,Food and Drink,Restaurants
2020-06-15,30.1,HANS SAUSAGE INC,Food and Drink,Restaurants
2020-06-15,10.47,PCC - FREMONT,Shops,Supermarkets and Groceries
2020-06-15,7.5,PIM BICYCLES &,Shops,Bicycles
2020-06-15,32.5,POKE TO THE MAX,Food and Drink,Restaurants
2020-06-15,22.25,SEA WOLF LLC,Food and Drink,Restaurants
2020-06-13,4.39,APPLE.COM/BILL,Shops,Digital Purchase
2020-06-13,2.8,Lighthouse Roasters,Food and Drink,Restaurants
2020-06-13,25,Lighthouse Roasters,Food and Drink,Restaurants
2020-06-13,40.53,Mamnoon Llc,Food and Drink,Restaurants
2020-06-13,7.5,PIM BICYCLES &,Shops,Bicycles
2020-06-12,131.02,Amazon Prime,Shops,Digital Purchase
2020-06-12,800,BENEVITY DONATIONS,Community,Organizations and Associations,Charities and Non-Profits
2020-06-12,152.31,CANADAHELPS *DONATION ON,Community,Organizations and Associations,Charities and Non-Profits
2020-06-12,110.09,West Marine,Shops,Marine Supplies
2020-06-11,15.4,NINTENDO *AMERICAUS,Service,Entertainment
2020-06-11,-953.26,Online payment from CHK 2760,Transfer,Deposit
2020-06-11,99.95,SP * CKS ONLINE 9703448836 CO,Shops,Clothing and Accessories
2020-06-11,29.26,Safeway,Shops,Supermarkets and Groceries
2020-06-10,30.83,ARITZIA.COM,Shops,Clothing and Accessories,Women's Store
2020-06-10,44.99,Comcast,Service,Cable
2020-06-09,17.2,Lighthouse Roasters,Food and Drink,Restaurants
2020-06-09,-46.59,MEGAZIP NAGOYASHI NIS,Transfer,Credit
2020-06-09,15.99,Netflix,Service,Subscription
2020-06-09,34.48,VERAS PIZZA & BAR,Food and Drink,Restaurants
2020-06-08,4.91,CAFFE LADRO - 04,Shops,Food and Beverage Store
2020-06-08,9.12,DISTRICT-H,Shops,Supermarkets and Groceries
2020-06-08,61.41,Home Depot,Shops,Hardware Store
2020-06-08,26.96,MOPED METZG EBAY,Shops,Digital Purchase
2020-06-08,70.77,PCC - BALLARD,Shops,Supermarkets and Groceries
2020-06-08,36.38,SHIKU SUSHI,Food and Drink,Restaurants
2020-06-08,9.99,Spotify,Service,Subscription
2020-06-08,60.76,Trader Joe's,Shops,Supermarkets and Groceries
2020-06-06,46.59,MEGAZIP NAGOYASHI NIS,Food and Drink,Restaurants
2020-06-06,30.32,THAI ON 1,Food and Drink,Restaurants
2020-06-06,7.17,UNEEDA BUR* UNEEDA BUR STRIPE.COM,Food and Drink,Restaurants
2020-06-05,4.75,PIM BICYCLES &,Shops,Bicycles
2020-06-04,10.34,Amazon,Shops,Digital Purchase
2020-06-04,11.3,Lighthouse Roasters,Food and Drink,Restaurants
2020-06-04,19.49,SCHMALTZY'S DELICATESSeattle,Food and Drink,Restaurants
2020-06-04,51.55,USPS PO 5476010005,Service,Shipping and Freight
2020-06-03,31.31,ARASHI RAMEN BALLARD,Food and Drink,Restaurants
2020-06-03,110.25,CONSERVICE, LLC,Service
2020-06-03,12,EDDIE VINE BOAT RAMP,Recreation
2020-06-03,30.94,SP * SHOP HBO HTTPSSHOPHBO.NY,Shops
2020-06-02,3,Etsy Inc Seller Fees,Shops,Digital Purchase
2020-06-02,-16.46,Online payment from CHK 2760,Transfer,Deposit
2020-06-02,96,SEATTLE CITY LIGHT,Community,Government Departments and Agencies
2020-06-02,33.3,TST* ROCKET TACO - SEATTLSEATTLE,Food and Drink,Restaurants
2020-06-02,35,VERAS PIZZA & BAR,Food and Drink,Restaurants
2020-06-01,78.42,Costco,Shops,Warehouses and Wholesale Stores
2020-06-01,26.34,Costco Gas,Travel,Gas Stations
2020-06-01,66.06,INTUIT *TURBOTAX,Service,Financial,Taxes
