Date,Amount,Name,Category
2020-08-14,477.83,FULLY,Service
2020-08-14,5.5,PORKCHOP CO,Food and Drink,Restaurants
2020-08-14,1.5,SDOT PAYBYPHONE PARKIN,Travel,Parking
2020-08-14,2,SDOT PAYBYPHONE PARKIN,Travel,Parking
2020-08-13,74.25,DISCOVER DOUBLE LEEDS,Food and Drink,Restaurants
2020-08-13,2,SDOT PAYBYPHONE PARKIN,Travel,Parking
2020-08-13,24.22,THAI ON 1,Food and Drink,Restaurants
2020-08-12,18.83,Anchored Ship Coffee Bar,Food and Drink,Restaurants,Coffee Shop
2020-08-12,17.87,CRESCENT MARKET AT SNOQU,Shops,Supermarkets and Groceries
2020-08-12,10.65,LIGHTHOUSE ROASTERS,Food and Drink,Restaurants
2020-08-12,0.75,SDOT PAYBYPHONE PARKING,Travel,Parking
2020-08-11,4.72,7-Eleven,Shops,Convenience Stores
2020-08-11,29.92,Porkchop & Co.,Food and Drink,Restaurants
2020-08-11,14.5,SEA WOLF BAKERS,Food and Drink,Restaurants
2020-08-11,2,SEATTLE METER PARKING,Travel,Parking
2020-08-11,35.83,SHIKU SUSHI,Food and Drink,Restaurants
2020-08-10,100,AIRBNB GIFTCARD,Travel,Lodging,Hotels and Motels
2020-08-10,10.99,BARTELL DRUG 71-BALLARDC,Shops,Pharmacies
2020-08-10,7.5,PIM BICYCLES & COFFEEWOODINVILLE,Shops,Bicycles
2020-08-10,18.77,PORTAGE BA* PORTAGE BA PORTAGEBAYCAFWA,Food and Drink,Restaurants
2020-08-10,15.61,Porkchop & Co.,Food and Drink,Restaurants
2020-08-10,0.25,SDOT PAYBYPHONE PARKING,Travel,Parking
2020-08-10,0.25,SDOT PAYBYPHONE PARKING,Travel,Parking
2020-08-10,0.9,SDOT PAYBYPHONE PARKING,Travel,Parking
2020-08-10,1,SDOT PAYBYPHONE PARKING,Travel,Parking
2020-08-10,37.37,SPICE UP,Food and Drink,Restaurants
2020-08-10,121.34,Trader Joe's,Shops,Supermarkets and Groceries
2020-08-08,-100,Online payment from SAV 5209,Transfer,Payroll
2020-08-08,29.22,THAI ON 1,Food and Drink,Restaurants
2020-08-05,4.39,APPLE.COM/BILL,Shops,Digital Purchase
2020-08-04,23.82,Marketime Foods,Food and Drink,Restaurants
2020-08-04,-1000,Online payment from CHK 2760,Transfer,Deposit
2020-08-04,79.12,SEATTLE CITY LIGHT,Community,Government Departments and Agencies
2020-08-04,0.96,Stoneway Hardware,Service,Home Improvement,Hardware and Services
2020-08-04,25.86,West Marine,Shops,Marine Supplies
2020-08-03,3.29,Costco,Shops,Warehouses and Wholesale Stores
2020-08-03,72.61,Costco,Shops,Warehouses and Wholesale Stores
2020-08-03,7.23,Fremont Coffee,Food and Drink,Restaurants
2020-08-03,13.21,Hot Cakes Molten Chocolate Cakery,Food and Drink,Restaurants,Dessert
2020-08-03,21.35,PCC - BALLARD,Shops,Supermarkets and Groceries
2020-08-03,0.25,SDOT PAYBYPHONE PARKING,Travel,Parking
2020-08-03,0.5,SDOT PAYBYPHONE PARKING,Travel,Parking
2020-08-03,0.97,SDOT PAYBYPHONE PARKING,Travel,Parking
2020-08-03,35.9,Shell,Travel,Gas Stations
2020-08-03,28.15,TST* CACTUS - MADISON PAR206-788-7331,Food and Drink,Restaurants
2020-08-03,46.74,Trader Joe's,Shops,Supermarkets and Groceries
2020-08-03,40,VERAS PIZZA & BAR,Food and Drink,Restaurants
2020-08-01,7.7,APPLE.COM/BILL,Shops,Digital Purchase
2020-08-01,62.51,Home Depot,Shops,Hardware Store
2020-08-01,40.23,NUNA RAMEN,Food and Drink,Restaurants
2020-08-01,-3524.91,Online payment from CHK 2760,Transfer,Deposit
2020-08-01,-320.29,Online payment from CHK 2760,Transfer,Deposit
2020-08-01,-500,Online payment from SAV 4952,Transfer,Payroll
2020-08-01,28.62,The Matador,Food and Drink,Restaurants,Mexican
2020-07-31,75,ANNUAL FEE,Bank Fees
2020-07-31,8.99,FRAUD DISPUTE,Bank Fees,Fraud Dispute
2020-07-31,8.99,FRAUD DISPUTE,Bank Fees,Fraud Dispute
2020-07-31,15.99,FRAUD DISPUTE,Bank Fees,Fraud Dispute
2020-07-31,4.7,Hood Canal Outfitters,Shops,Convenience Stores
2020-07-31,7.5,PIM BICYCLES & COFFEEWOODINVILLE,Shops,Bicycles
2020-07-31,100,TMOBILE*AUTO PAY,Service,Telecommunication Services
2020-07-31,19.55,WSFERRIES-FAUNTLEROY,Travel,Public Transportation Services
2020-07-31,12.45,WSFERRIES-SOUTHWORTH,Travel,Boat
2020-07-30,2,CHUG A TUG ESPRESSO,Food and Drink,Restaurants,Coffee Shop
2020-07-30,30,THAI ON 1,Food and Drink,Restaurants
2020-07-30,35.25,The DISH,Food and Drink,Restaurants
2020-07-29,25.31,BARTELL DRUG 71-BALLARDC,Shops,Pharmacies
2020-07-29,28.58,SHIKU SUSHI,Food and Drink,Restaurants
2020-07-28,2410.49,AIRBNB HM2AW5WZJF AIRBNB.COM,Travel,Lodging,Hotels and Motels
2020-07-27,25.19,CRESCENT MARKET AT SNOQU,Shops,Supermarkets and Groceries
2020-07-27,91.71,Costco,Shops,Warehouses and Wholesale Stores
2020-07-27,13.79,PIM BICYCLES & COFFEEWOODINVILLE,Shops,Bicycles
2020-07-27,1,SDOT PAYBYPHONE PARKING,Travel,Parking
2020-07-27,1,SDOT PAYBYPHONE PARKING,Travel,Parking
2020-07-27,1,SDOT PAYBYPHONE PARKING,Travel,Parking
2020-07-27,1.75,USA*VEND AT AIR SERV,Food and Drink
2020-07-25,14.17,BARTELL DRUG 71-BALLARDC,Shops,Pharmacies
2020-07-25,37.21,Kedai Makan,Food and Drink,Restaurants,Asian
2020-07-25,7.25,Mighty-o Donuts,Food and Drink,Restaurants,Donuts
2020-07-25,0.88,ONLINE ORDER HANDLING,Shops,Hardware Store
2020-07-24,2.99,7-Eleven,Shops,Convenience Stores
2020-07-24,77.02,FITBIT, INC. WWW.FITBIT.COCA,Service
2020-07-24,128.89,GEICO,Service,Insurance
2020-07-24,9.82,Hello Robi,Food and Drink,Restaurants
2020-07-24,28.62,The Matador,Food and Drink,Restaurants,Mexican
2020-07-23,7.28,Miro Tea,Shops,Food and Beverage Store
2020-07-23,10.44,Netflix,Service,Subscription
2020-07-23,66.21,PCC - BALLARD,Shops,Supermarkets and Groceries
2020-07-23,0.22,SDOT PAYBYPHONE PARKING,Travel,Parking
2020-07-23,1100.99,West Marine,Shops,Marine Supplies
2020-07-21,35,VERAS PIZZA & BAR,Food and Drink,Restaurants
2020-07-20,32,7-Eleven,Shops,Convenience Stores
2020-07-20,16.5,AMZN DIGITAL*MV0RR6TY0,Shops,Digital Purchase
2020-07-20,6.5,Lighthouse Roasters,Food and Drink,Restaurants
2020-07-20,143.13,MOSS BAY KAYAK 2066822031,Shops,Sporting Goods
2020-07-20,65.28,NINTENDO *AMERICAUS,Service,Entertainment
2020-07-20,66.06,OUTDOOR RESEARCH,Shops,Sporting Goods
2020-07-20,10.04,PCC - BALLARD,Shops,Supermarkets and Groceries
2020-07-20,7.5,PIM BICYCLES & COFFEEWOODINVILLE,Shops,Bicycles
2020-07-20,1,SDOT PAYBYPHONE PARKING,Travel,Parking
2020-07-20,18.17,TACOS CHUKIS BEACON Hgosq.com,Food and Drink,Restaurants
2020-07-20,28.62,The Matador,Food and Drink,Restaurants,Mexican
2020-07-18,16.49,Spotify,Service,Subscription
2020-07-18,28.12,THAI ON 1,Food and Drink,Restaurants
2020-07-17,120.49,Trader Joe's,Shops,Supermarkets and Groceries
2020-07-16,18.83,Anchored Ship Coffee Bar,Food and Drink,Restaurants,Coffee Shop
2020-07-16,34.02,Uber Eats,Service
